;,Created by Ken Barker – 22nd June 2013,
;,Using ryapn.csv as a template and adding extra Lilliput classes,
;,,
; Lilliput SC Dinghy PY List,,
; PY,Class Name,Number
PY,Topper Topaz Race,1190
PY,Topper Mango,1175
PY,Hobie 405,1092
PY,Tideaway 12,1447
;PY,Laser Stratos,1080
